bar_height,central_price,ewma_price,ewma_deviation,forward_mid,position_bias,forward_high_order_price,forward_low_order_price,sell_rate,buy_rate,order_size,eemr_position,eemr_aep,eemr_reference_price,eemr_pnl,forward_high_pre_aep_adj,forward_low_pre_aep_adj,forward_ask_prices,forward_ask_sizes,forward_bid_prices,forward_bid_sizes
11.10000000000582,104140.1,104144.01472663373,12.05081090340465,104144.01472663373,-0.0,104644.01472663373,103644.01472663373,0.0,0.0,0.01,0,0,104144.01472663373,0,104644.01472663373,103644.01472663373,[104644.01472663373],[np.float64(0.01)],[103644.01472663373],[np.float64(0.01)]
10.10000000000582,104130.1,104133.57868165844,10.587702725855529,104133.57868165844,-0.0,104633.57868165844,103633.57868165844,0.0,0.0,0.01,0,0,104133.57868165844,0,104633.57868165844,103633.57868165844,[104633.57868165844],[np.float64(0.01)],[103633.57868165844],[np.float64(0.01)]
14.400000000008731,104119.1,104122.71967041462,13.44692568147043,104122.71967041462,-0.0,104622.71967041462,103622.71967041462,0.0,0.0,0.01,0,0,104122.71967041462,0,104622.71967041462,103622.71967041462,[104622.71967041462],[np.float64(0.01)],[103622.71967041462],[np.float64(0.01)]
10.400000000008731,104108.8,104112.27991760366,11.161731420374156,104112.27991760366,-0.0,104612.27991760366,103612.27991760366,0.0,0.0,0.01,0,0,104112.27991760366,0,104612.27991760366,103612.27991760366,[104612.27991760366],[np.float64(0.01)],[103612.27991760366],[np.float64(0.01)]
11.19999999999709,104119.7,104117.8449794009,11.190432855091355,104117.8449794009,-0.0,104617.8449794009,103617.8449794009,0.0,0.0,0.01,0,0,104117.8449794009,0,104617.8449794009,103617.8449794009,[104617.8449794009],[np.float64(0.01)],[103617.8449794009],[np.float64(0.01)]
16.5,104130.4,104127.26124485022,15.17260821377284,104127.26124485022,-0.0,104627.26124485022,103627.26124485022,0.0,0.0,0.01,0,0,104127.26124485022,0,104627.26124485022,103627.26124485022,[104627.26124485022],[np.float64(0.01)],[103627.26124485022],[np.float64(0.01)]
11.0,104141.3,104137.79031121256,12.04315205344321,104137.79031121256,-0.0,104637.79031121256,103637.79031121256,0.0,0.0,0.01,0,0,104137.79031121256,0,104637.79031121256,103637.79031121256,[104637.79031121256],[np.float64(0.01)],[103637.79031121256],[np.float64(0.01)]
12.89999999999418,104154.1,104150.02257780315,12.685788013356436,104150.02257780315,-0.0,104650.02257780315,103650.02257780315,0.0,0.0,0.01,0,0,104150.02257780315,0,104650.02257780315,103650.02257780315,[104650.02257780315],[np.float64(0.01)],[103650.02257780315],[np.float64(0.01)]
18.09999999999127,104139.1,104141.83064445079,16.746447003332563,104141.83064445079,-0.0,104641.83064445079,103641.83064445079,0.0,0.0,0.01,0,0,104141.83064445079,0,104641.83064445079,103641.83064445079,[104641.83064445079],[np.float64(0.01)],[103641.83064445079],[np.float64(0.01)]
21.5,104117.7,104123.73266111269,20.31161175083314,104123.73266111269,-0.0,104623.73266111269,103623.73266111269,0.0,0.0,0.01,0,0,104123.73266111269,0,104623.73266111269,103623.73266111269,[104623.73266111269],[np.float64(0.01)],[103623.73266111269],[np.float64(0.01)]
