2025-05-12 13:25:24.331339 [INF] [CB_RO#trend] TrendStrength=_trendStrength,_trendStrength.Ewma,_trendStrength.DoubleEwma,_trendStrength.DoubleEwmaSlope,BuildUpInProgress,ReductionInProgress,_buildUpStepSize,_reductionStepSize,PositionMultiplier,TargetPosition,SlopeSignCount,TrendStatus
2025-05-12 13:33:11.412928 [INF] [CB_RO#trend] TrendStrength=-1,0.0026441141685507306,-8.399659721547536E-05,1.077549327838582E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:13.912951 [INF] [CB_RO#trend] TrendStrength=-1,0.0021427921114665106,-8.332856060287085E-05,1.0467007476178063E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:14.432698 [INF] [CB_RO#trend] TrendStrength=-1,0.0016417207154108327,-8.281104582006679E-05,9.858766846288155E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:14.692979 [INF] [CB_RO#trend] TrendStrength=-1,0.0011408998550531825,-8.244393254980486E-05,8.951011238851107E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:16.223102 [INF] [CB_RO#trend] TrendStrength=-1,0.000640329405125711,-8.222710054850222E-05,8.043980357084999E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:18.802891 [INF] [CB_RO#trend] TrendStrength=-1,0.00014000924042320323,-8.216042964621073E-05,6.837673757372663E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:19.142563 [INF] [CB_RO#trend] TrendStrength=-1,-0.00036006076419695327,-8.224379974657595E-05,5.632330996343035E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.022984 [INF] [CB_RO#trend] TrendStrength=1,0.0001401192661850901,-8.217709082679647E-05,4.7279514838711E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.363188 [INF] [CB_RO#trend] TrendStrength=1,0.0006400492065519425,-8.196042293758287E-05,3.824294630159499E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.492857 [INF] [CB_RO#trend] TrendStrength=1,0.0011397291819486115,-8.159391605611706E-05,3.2213599927380815E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:27.992771 [INF] [CB_RO#trend] TrendStrength=1,0.0016391593173575821,-8.1077690086093E-05,2.918907129382354E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:28.772679 [INF] [CB_RO#trend] TrendStrength=-1,0.0011383397376989585,-8.071186485775752E-05,2.6166957451133264E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:30.692651 [INF] [CB_RO#trend] TrendStrength=-1,0.0006377705678301641,-8.049632012795118E-05,2.3147256921156172E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:31.332697 [INF] [CB_RO#trend] TrendStrength=1,0.0011374516825461939,-8.013093572714897E-05,2.3129968226558866E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:33.263010 [INF] [CB_RO#trend] TrendStrength=1,0.0016368829567048658,-7.961583155941942E-05,2.611268989082804E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:33.932839 [INF] [CB_RO#trend] TrendStrength=-1,0.0011360645152265684,-7.925112745538367E-05,2.909302190827058E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:34.812742 [INF] [CB_RO#trend] TrendStrength=-1,0.0006354964829690102,-7.903670317225636E-05,3.2070965743195847E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:37.133069 [INF] [CB_RO#trend] TrendStrength=-1,0.00013517873472758076,-7.897243854088641E-05,3.204652285910051E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:38.023353 [INF] [CB_RO#trend] TrendStrength=-1,-0.00036488885463972797,-7.905821346571607E-05,2.902209471866807E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:39.795673 [INF] [CB_RO#trend] TrendStrength=-1,-0.000864706410212353,-7.929390792474003E-05,2.3000081313770295E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:39.892849 [INF] [CB_RO#trend] TrendStrength=-1,-0.0013642740570071919,-7.967940196946472E-05,1.398288116628282E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:41.342999 [INF] [CB_RO#trend] TrendStrength=-1,-0.0018635919199786334,-8.021457572486741E-05,4.9728913289010735E-08,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:42.413078 [INF] [CB_RO#trend] TrendStrength=-1,-0.002362660124018589,-8.089930938935546E-05,-4.029892614042805E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:33:42.822815 [INF] [CB_RO#trend] TrendStrength=1,-0.001861478793956635,-8.143348323472558E-05,-1.3025475075766112E-07,False,False,1,1,0,0.00,-1,None
2025-05-12 13:33:43.292981 [INF] [CB_RO#trend] TrendStrength=-1,-0.0023605480545596017,-8.211721760612297E-05,-2.501386046703551E-07,True,False,1,1,1,-0.01,-2,BuildUp
2025-05-12 13:33:44.522710 [INF] [CB_RO#trend] TrendStrength=1,-0.0018593677805323772,-8.265039277500079E-05,-3.399265319617119E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:47.512909 [INF] [CB_RO#trend] TrendStrength=1,-0.0013584380966421663,-8.30331290861609E-05,-3.9964259139045347E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:48.892693 [INF] [CB_RO#trend] TrendStrength=-1,-0.0018577588775937901,-8.356554681071313E-05,-4.593108269826713E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:49.682959 [INF] [CB_RO#trend] TrendStrength=-1,-0.0023568299981549384,-8.424752614611632E-05,-5.189312680400256E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:51.803153 [INF] [CB_RO#trend] TrendStrength=1,-0.0018556515831559162,-8.477894736321921E-05,-5.485039438479181E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:01.372821 [INF] [CB_RO#trend] TrendStrength=1,-0.0013547237573643934,-8.515993080621952E-05,-5.480528836754805E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:01.523060 [INF] [CB_RO#trend] TrendStrength=1,-0.0008540463954857663,-8.539059674562337E-05,-5.176021020755956E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:02.693469 [INF] [CB_RO#trend] TrendStrength=-1,-0.0013536193722879684,-8.577106537828604E-05,-4.871755988930584E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:02.872877 [INF] [CB_RO#trend] TrendStrength=-1,-0.0018529425626017694,-8.630121682745303E-05,-4.86773359272745E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:03.473111 [INF] [CB_RO#trend] TrendStrength=-1,-0.0023520160913204136,-8.698093128980083E-05,-4.863713683677867E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:34:06.122883 [INF] [CB_RO#trend] TrendStrength=1,-0.0018508400832748088,-8.751008903539628E-05,-4.859696260395492E-07,False,False,1,1,1,-0.01,-2,None
