position,long_limit_entry,short_limit_entry,long_market_entry,short_market_entry,buy_trades,sell_trades,buy_size,buy_cost,sell_size,sell_cost,buy_trade_pnl,sell_trade_pnl,prior_position_pnl,taker_fee,maker_fee,commission,pnl,worst_pnl,best_pnl,average_entry_price,total_entry_cost,total_entry_size,time
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042737833
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042742753
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042743173
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042745855
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042749272
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042752705
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042753572
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042756272
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042773043
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042783502
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042786512
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042789513
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042802473
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042807673
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042808018
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042809563
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042810653
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042812033
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042817043
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042817102
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042818992
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042819642
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042821292
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042822754
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042822852
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042830940
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042830993
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042832754
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042833962
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042839623
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042850023
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042855002
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042860802
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042861532
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042862162
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042865962
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042867972
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042876143
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042881753
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042886562
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042890623
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042892603
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042895852
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042899722
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042905322
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042908572
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042919962
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042920792
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042922713
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042923023
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042926293
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042926632
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042926933
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042929393
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042933262
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042935473
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042935652
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042936416
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042936466
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042938022
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042938292
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042939382
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042944112
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042945912
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042947172
