trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,buildup_in_progress,reduction_in_progress,buildup_step_size,reduction_step_size,position_multiplier,target_position,slope_sign_count,trend_status
-1,-0.0013386674617145307,-9.41940260988427E-05,-2.392276790956542E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0018379981279836185,-9.471716732940808E-05,-2.390223571402137E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002337079128919572,-9.538987591788505E-05,-2.68817163558179E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002835910589355057,-9.621203213191611E-05,-3.28588098277651E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0033344926340603247,-9.718351631249452E-05,-4.183111759267636E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0038328253877432396,-9.830420887392362E-05,-5.37962425825539E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0043309089750493135,-9.957399030377609E-05,-6.575178919777171E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038287435205618444,-0.00010069274116285338,-7.46977633062616E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003326829148801619,-0.00010166058208514491,-8.063657077269704E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0028251657342272733,-0.00010247763363078745,-8.657061598849484E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0023237531513602147,-0.0001031440162861062,-8.949990187263494E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0018225912747845898,-0.00010365985046365568,-8.942683134247599E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002321679979147143,-0.00010432525650226066,-8.935380584375614E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002820519139157514,-0.00010514011466705715,-8.928082535141041E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0033191088795878803,-0.00010610430529653329,-8.920788984038776E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0038174493251480314,-0.00010721770880248863,-8.913499928565004E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004315540600485402,-0.00010848020566999336,-8.906215366217264E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038133828301852146,-0.00010959167645734781,-8.898935294494422E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0043114761387700665,-0.00011085224179604148,-9.191659710896575E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003809320400700737,-0.00011196178224371276,-9.484148612925316E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004307415740500331,-0.00011322041843118962,-1.0076402145083418E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038052620326301367,-0.00011432803091544918,-1.0668180451793495E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0033033594016138768,-0.0001152847403266586,-1.0959483824397932E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003801707721913015,-0.00011639066722113437,-1.1250552554077217E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004299806868052003,-0.00011764569208138348,-1.1541386784850191E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003797656964618033,-0.00011874969546314436,-1.1531986660655733E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003295758136135779,-0.00011970279799534604,-1.1222592325352689E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003794110257067656,-0.00012080512023306762,-1.1213443775719816E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0042922132019390675,-0.00012205654265757928,-1.12043008615378E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0037900670953381534,-0.00012315694582338334,-1.119516357967058E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0032881720617905395,-0.00012410645035817338,-1.0886031926983765E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0027865279757596996,-0.00012490517681579375,-1.0577145900344571E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002285134711771875,-0.00012555324567628052,-1.0268505349621922E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002783992144415934,-0.00012635077734590234,-9.960110124767968E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0022826001483437813,-0.00012699765215720165,-9.351960075818161E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0017814588482696647,-0.00012749399051603533,-8.74429505289097E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002280568118845475,-0.00012813991275453408,-8.437114759188034E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0017794278347861075,-0.0001286352991311435,-7.830178898075889E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0012785381208687697,-0.00012898026997766476,-6.923727320085481E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0017778988518082804,-0.0001294749455522139,-6.31799972883055E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002277009902382321,-0.00013011920603926287,-6.01275568108949E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002775871397431075,-0.00013091293169668035,-6.007754880886598E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0032744834617323046,-0.00013185600285569094,-6.30275717941042E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0037728462200013837,-0.0001329482999208345,-6.597522574932171E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003270959796891438,-0.0001338897033699256,-6.892051212723963E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002769324316993048,-0.00013468033375401244,-7.186343237977112E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0022679396548346063,-0.00013532031155033655,-7.180398795802475E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002766805685007134,-0.0001361097571623735,-7.474458031229986E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0032654222821645756,-0.00013704855091987406,-8.068280942209294E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0037637895710234386,-0.000138136573225905,-8.661627673691103E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004261907676237872,-0.00013937370455680847,-9.254498517545594E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0037597767223998078,-0.00014045982546216125,-9.546893765480902E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003257896834038663,-0.0001413950565647341,-9.539053709043158E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003756267885621589,-0.00014247951841345104,-9.531218492616538E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0032543897516788332,-0.00014341309148343056,-9.523388113504954E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002752762556803049,-0.00014419589632302636,-9.515562569013922E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.002251386175524703,-0.00014482805340678678,-9.507741856450228E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0027502604824368856,-0.00014560968313549573,-9.499925973122233E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
