timestamp,last_bbo_local_timestamp,bar_number,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,open,high,low,close,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 14:27:07.382384,1747045627382,982,21,1521967147,2,394.25,198,20.0,22.75,True,False,True,230582538034,103292.55,103312.55,103292.55,103312.55,103292.55,103315.3,103292.55,103315.3,103295.0,103315.4,103295.0,103315.4,103294.8,103315.3,103294.8,103315.3,103296.0,103315.4,103295.0,103315.4
2025-05-12 14:27:07.582390,1747045627582,983,21,1521967183,-1,96.25,199,-20.0,-20.15,True,False,True,230582542874,103312.55,103315.3,103292.55,103292.55,103312.55,103315.3,103292.4,103292.4,103315.4,103315.4,103292.4,103292.4,103315.3,103315.3,103292.3,103292.3,103315.4,103315.4,103295.1,103295.1
2025-05-12 14:27:07.992528,1747045627992,984,40,1521967258,1,222.89,410,20.0,22.65,True,False,True,230582549545,103292.55,103312.55,103286.7,103312.55,103292.55,103315.2,103286.7,103315.2,103292.4,103315.3,103286.7,103315.3,103292.3,103315.2,103286.6,103315.2,103295.1,103314.0,103286.6,103314.0
2025-05-12 14:27:09.322581,1747045629322,985,128,1521967401,-1,535.95,1330,-20.0,-25.35,True,False,True,230582567240,103312.55,103315.2,103292.55,103292.55,103312.55,103315.2,103287.2,103287.2,103315.3,103315.3,103287.2,103287.2,103315.2,103315.2,103287.1,103287.1,103314.0,103315.3,103290.0,103290.0
2025-05-12 14:27:09.442245,1747045629442,986,11,1521967430,-2,65.71,119,-20.0,-21.95,True,False,True,230582571115,103292.55,103292.55,103272.55,103272.55,103292.55,103292.55,103270.6,103270.6,103287.2,103287.2,103270.6,103270.6,103287.1,103287.1,103270.4,103270.4,103290.0,103290.0,103275.9,103275.9
2025-05-12 14:27:09.743281,1747045629743,987,31,1521967498,-3,372.37,300,-20.0,-36.15,True,False,True,230582578797,103272.55,103272.55,103252.55,103252.55,103272.55,103272.55,103236.4,103236.4,103270.6,103270.6,103236.4,103236.4,103270.4,103270.4,103236.0,103236.0,103275.9,103275.9,103255.3,103255.3
2025-05-12 14:27:10.092404,1747045630092,988,35,1521967593,-4,215.89,349,-20.0,-25.75,True,False,True,230582584984,103252.55,103252.55,103232.55,103232.55,103252.55,103252.55,103226.8,103226.8,103236.4,103236.4,103226.8,103226.8,103236.0,103236.2,103225.5,103225.5,103255.3,103255.3,103225.5,103225.5
2025-05-12 14:27:11.362323,1747045631362,989,124,1521967830,1,1677.07,1269,20.0,20.75,True,False,True,230582606066,103232.55,103252.55,103225.6,103252.55,103232.55,103253.3,103225.6,103253.3,103226.8,103253.4,103225.6,103253.4,103225.5,103253.3,103225.5,103253.3,103225.5,103250.0,103225.5,103250.0
2025-05-12 14:27:11.462505,1747045631462,990,11,1521968031,2,1947.29,100,20.0,25.05,True,False,True,230582609726,103252.55,103272.55,103252.55,103272.55,103252.55,103277.6,103252.55,103277.6,103253.4,103278.7,103253.4,103278.7,103253.3,103277.6,103253.3,103277.6,103250.0,103294.2,103250.0,103270.5
2025-05-12 14:27:11.642642,1747045631642,991,19,1521968080,3,217.83,180,20.0,21.65,True,False,True,230582613923,103272.55,103292.55,103272.55,103292.55,103272.55,103294.2,103272.55,103294.2,103278.7,103294.3,103278.4,103294.3,103277.6,103294.2,103277.6,103294.2,103270.5,103294.1,103270.5,103294.1
2025-05-12 14:27:11.952477,1747045631952,992,32,1521968163,4,232.61,309,20.0,22.35,True,False,True,230582620102,103292.55,103312.55,103292.55,103312.55,103292.55,103314.9,103292.55,103314.9,103294.3,103315.0,103294.3,103315.0,103294.2,103314.9,103294.2,103314.9,103294.1,103313.6,103294.1,103313.6
2025-05-12 14:27:13.142403,1747045633142,993,109,1521968459,-1,1012.09,1189,-20.0,-22.45,True,False,True,230582635565,103312.55,103326.0,103292.55,103292.55,103312.55,103326.0,103290.1,103290.1,103315.0,103326.1,103290.1,103290.1,103314.9,103326.0,103290.0,103290.0,103313.6,103326.1,103290.1,103290.1
2025-05-12 14:27:13.672476,1747045633672,994,45,1521968527,1,151.14,530,20.0,21.75,True,False,True,230582641853,103292.55,103312.55,103290.1,103312.55,103292.55,103314.3,103290.1,103314.3,103290.1,103314.4,103290.1,103314.4,103290.0,103314.3,103290.0,103314.3,103290.1,103314.4,103290.0,103314.4
2025-05-12 14:27:14.862035,1747045634862,995,110,1521968767,2,910.62,1189,20.0,20.35,True,False,True,230582660593,103312.55,103332.55,103296.8,103332.55,103312.55,103332.9,103296.8,103332.9,103314.4,103333.0,103296.8,103333.0,103314.3,103332.9,103296.7,103332.9,103314.4,103332.6,103296.8,103332.6
2025-05-12 14:27:15.512507,1747045635512,996,45,1521968891,3,82.21,650,20.0,20.05,True,False,True,230582668616,103332.55,103352.55,103332.55,103352.55,103332.55,103352.6,103332.55,103352.6,103333.0,103352.7,103333.0,103352.7,103332.9,103352.6,103332.9,103352.6,103332.6,103350.0,103332.6,103350.0
2025-05-12 14:27:17.272588,1747045637272,997,154,1521969213,4,1256.93,1760,20.0,21.55,True,False,True,230582694029,103352.55,103372.55,103339.9,103372.55,103352.55,103374.1,103339.9,103374.1,103352.7,103374.2,103339.9,103374.2,103352.6,103374.1,103339.8,103374.1,103350.0,103374.2,103339.8,103374.2
2025-05-12 14:27:18.013880,1747045638013,998,55,1521969374,5,66.42,741,20.0,22.05,True,False,True,230582701911,103372.55,103392.55,103372.55,103392.55,103372.55,103394.6,103372.55,103394.6,103374.2,103394.7,103374.2,103394.7,103374.1,103394.6,103374.1,103394.6,103374.2,103394.5,103374.2,103394.5
2025-05-12 14:27:18.842484,1747045638842,999,73,1521969727,6,518.52,828,20.0,23.95,True,False,True,230582715475,103392.55,103412.55,103392.55,103412.55,103392.55,103416.5,103392.55,103416.5,103394.7,103428.8,103394.7,103416.6,103394.6,103416.5,103394.6,103416.5,103394.5,103428.8,103394.5,103416.6
2025-05-12 14:27:25.502678,1747045645502,1000,574,1521970393,-1,2978.23,6660,-20.0,-28.15,True,False,True,230582787617,103412.55,103431.7,103392.55,103392.55,103412.55,103431.7,103384.4,103384.4,103416.6,103431.8,103384.4,103384.4,103416.5,103431.7,103384.3,103384.3,103416.6,103431.8,103384.4,103384.4
2025-05-12 14:27:26.414224,1747045646414,1001,77,1521970453,-2,155.88,911,-20.0,-24.65,True,False,True,230582798369,103392.55,103392.55,103372.55,103372.55,103392.55,103392.55,103367.9,103367.9,103384.4,103384.4,103367.9,103367.9,103384.3,103384.3,103367.8,103367.8,103384.4,103384.4,103368.8,103368.8
2025-05-12 14:27:26.992380,1747045646992,1002,53,1521970502,-3,113.58,578,-20.0,-20.55,True,False,True,230582805424,103372.55,103372.55,103352.55,103352.55,103372.55,103372.55,103352.0,103352.0,103367.9,103367.9,103352.0,103352.0,103367.8,103367.8,103351.2,103351.2,103368.8,103368.8,103356.0,103356.0
2025-05-12 14:27:29.512425,1747045649512,1003,222,1521970901,-4,2386.51,2519,-20.0,-22.35,True,False,True,230582838869,103352.55,103360.0,103332.55,103332.55,103352.55,103360.0,103330.2,103330.2,103352.0,103360.1,103330.2,103330.2,103351.2,103360.0,103330.1,103330.1,103356.0,103360.1,103330.1,103330.1
2025-05-12 14:27:29.732912,1747045649732,1004,19,1521970940,-5,132.98,220,-20.0,-20.55,True,False,True,230582844087,103332.55,103332.55,103312.55,103312.55,103332.55,103332.55,103312.0,103312.0,103330.2,103330.2,103312.0,103312.0,103330.1,103330.1,103300.7,103300.7,103330.1,103330.2,103315.4,103315.4
2025-05-12 14:27:31.632447,1747045651632,1005,171,1521971214,-6,1205.09,1899,-20.0,-20.45,True,False,True,230582865691,103312.55,103315.2,103292.55,103292.55,103312.55,103315.2,103292.1,103292.1,103312.0,103315.3,103292.1,103292.1,103300.7,103315.2,103292.0,103292.0,103315.4,103315.4,103292.1,103292.1
2025-05-12 14:27:31.832693,1747045651832,1006,20,1521971371,-7,340.65,200,-20.0,-24.35,True,False,True,230582871890,103292.55,103292.55,103272.55,103272.55,103292.55,103292.55,103268.2,103268.2,103292.1,103292.1,103268.2,103268.2,103292.0,103292.0,103268.1,103268.1,103292.1,103292.1,103268.3,103268.3
2025-05-12 14:27:33.132503,1747045653132,1007,119,1521971573,1,291.64,1299,20.0,23.95,True,False,True,230582890967,103272.55,103292.55,103255.7,103292.55,103272.55,103296.5,103255.7,103296.5,103268.2,103296.6,103255.7,103296.6,103268.1,103296.5,103255.6,103296.5,103268.3,103296.5,103255.6,103296.5
2025-05-12 14:27:33.522585,1747045653522,1008,39,1521971684,-1,690.99,390,-20.0,-20.25,True,False,True,230582899267,103292.55,103297.5,103272.55,103272.55,103292.55,103297.5,103272.3,103272.3,103296.6,103297.6,103272.3,103272.3,103296.5,103297.5,103272.2,103272.2,103296.5,103297.6,103273.9,103273.9
2025-05-12 14:27:34.772775,1747045654772,1009,108,1521971823,1,1088.69,1250,20.0,21.35,True,False,True,230582911796,103272.55,103292.55,103272.3,103292.55,103272.55,103293.9,103272.3,103293.9,103272.3,103295.7,103272.3,103295.7,103272.2,103293.9,103272.2,103293.9,103273.9,103286.2,103272.2,103286.1
2025-05-12 14:27:35.382629,1747045655382,1010,56,1521971891,-1,174.04,609,-20.0,-24.55,True,False,True,230582920707,103292.55,103295.6,103272.55,103272.55,103292.55,103295.6,103268.0,103268.0,103295.7,103295.7,103268.0,103268.0,103293.9,103295.6,103267.9,103267.9,103286.1,103295.7,103272.0,103272.0
2025-05-12 14:27:35.882583,1747045655882,1011,44,1521971998,-2,605.82,499,-20.0,-26.55,True,False,True,230582928260,103272.55,103272.55,103252.55,103252.55,103272.55,103272.55,103246.0,103246.0,103268.0,103268.0,103246.0,103246.0,103267.9,103267.9,103245.9,103245.9,103272.0,103272.0,103247.3,103247.3
2025-05-12 14:27:37.042443,1747045657042,1012,108,1521972264,-3,546.89,1159,-20.0,-20.65,True,False,True,230582948519,103252.55,103255.9,103232.55,103232.55,103252.55,103255.9,103231.9,103231.9,103246.0,103256.0,103231.9,103231.9,103245.9,103255.9,103231.8,103231.8,103247.3,103256.0,103223.4,103223.4
2025-05-12 14:27:41.683492,1747045661683,1013,425,1521972737,-4,1855.81,4640,-20.0,-21.45,True,False,True,230582995286,103232.55,103240.0,103212.55,103212.55,103232.55,103240.0,103211.1,103211.1,103231.9,103240.1,103211.1,103211.1,103231.8,103240.0,103211.0,103211.0,103223.4,103240.1,103217.1,103217.1
2025-05-12 14:27:42.712594,1747045662712,1014,99,1521972908,1,339.22,1029,20.0,24.25,True,False,True,230583006219,103212.55,103232.55,103211.1,103232.55,103212.55,103236.8,103211.1,103236.8,103211.1,103236.9,103211.1,103236.9,103211.0,103236.8,103211.0,103236.8,103217.1,103236.9,103211.0,103236.9
2025-05-12 14:27:42.882662,1747045662882,1015,16,1521972952,2,86.59,170,20.0,23.35,True,False,True,230583011570,103232.55,103252.55,103232.55,103252.55,103232.55,103255.9,103232.55,103255.9,103236.9,103256.0,103236.9,103256.0,103236.8,103255.9,103236.8,103255.9,103236.9,103254.9,103236.8,103254.9
2025-05-12 14:27:43.162575,1747045663162,1016,27,1521973039,3,217.19,279,20.0,24.85,True,False,True,230583019004,103252.55,103272.55,103252.55,103272.55,103252.55,103277.4,103252.55,103277.4,103256.0,103277.5,103256.0,103277.5,103255.9,103277.4,103255.9,103277.4,103254.9,103276.8,103254.9,103276.8
2025-05-12 14:27:43.882432,1747045663882,1017,66,1521973128,4,862.55,719,20.0,21.55,True,False,True,230583025360,103272.55,103292.55,103272.55,103292.55,103272.55,103294.1,103272.55,103294.1,103277.5,103294.2,103277.5,103294.2,103277.4,103294.1,103277.4,103294.1,103276.8,103293.7,103276.8,103293.7
2025-05-12 14:27:44.352671,1747045664352,1018,44,1521973275,-1,330.51,470,-20.0,-20.45,True,False,True,230583039907,103292.55,103306.1,103272.55,103272.55,103292.55,103306.1,103272.1,103272.1,103294.2,103306.2,103272.1,103272.1,103294.1,103306.1,103272.0,103272.0,103293.7,103306.2,103273.3,103273.3
2025-05-12 14:27:45.133912,1747045665133,1019,74,1521973437,1,1336.34,781,20.0,21.25,True,False,True,230583050079,103272.55,103292.55,103258.2,103292.55,103272.55,103293.8,103258.2,103293.8,103272.1,103301.7,103258.2,103301.7,103272.0,103293.8,103256.2,103293.8,103273.3,103291.5,103256.2,103291.5
2025-05-12 14:28:00.874618,1747045680874,1020,1253,1521974877,-1,4491.87,15740,-20.0,-30.25,True,False,True,230583197409,103292.55,103309.9,103272.55,103272.55,103292.55,103309.9,103262.3,103262.3,103301.7,103310.0,103262.3,103262.3,103293.8,103309.9,103262.2,103262.2,103291.5,103310.0,103264.4,103264.4
2025-05-12 14:28:01.024582,1747045681024,1021,15,1521974923,-2,69.1,149,-20.0,-21.55,True,False,True,230583202510,103272.55,103272.55,103252.55,103252.55,103272.55,103272.55,103251.0,103251.0,103262.3,103262.3,103251.0,103251.0,103262.2,103262.2,103250.9,103250.9,103264.4,103264.4,103251.0,103251.0
2025-05-12 14:28:01.324506,1747045681324,1022,30,1521975000,-3,231.11,299,-20.0,-21.05,True,False,True,230583210883,103252.55,103252.55,103232.55,103232.55,103252.55,103252.55,103231.5,103231.5,103251.0,103251.0,103231.5,103231.5,103250.9,103250.9,103231.4,103231.4,103251.0,103251.0,103231.8,103231.8
2025-05-12 14:28:01.894418,1747045681894,1023,55,1521975100,-4,1187.97,569,-20.0,-21.35,True,False,True,230583222405,103232.55,103239.9,103212.55,103212.55,103232.55,103239.9,103211.2,103211.2,103231.5,103240.0,103211.2,103211.2,103231.4,103239.9,103211.1,103211.1,103231.8,103240.0,103212.5,103212.5
2025-05-12 14:28:01.965691,1747045681965,1024,8,1521975393,-5,1622.85,71,-20.0,-20.85,True,False,True,230583229797,103212.55,103212.55,103192.55,103192.55,103212.55,103212.55,103191.7,103191.7,103211.2,103211.2,103191.7,103191.7,103211.1,103211.1,103191.6,103191.6,103212.5,103212.5,103194.2,103194.3
2025-05-12 14:28:02.054427,1747045682054,1025,10,1521975819,-6,939.13,88,-20.0,-21.65,True,False,True,230583237593,103192.55,103192.55,103172.55,103172.55,103192.55,103192.55,103170.9,103170.9,103191.7,103191.7,103170.9,103170.9,103191.6,103191.6,103170.8,103170.8,103194.3,103194.3,103170.8,103170.8
2025-05-12 14:28:02.364402,1747045682364,1026,31,1521975898,1,163.64,309,20.0,22.75,True,False,True,230583245473,103172.55,103192.55,103170.9,103192.55,103172.55,103195.3,103170.9,103195.3,103170.9,103195.4,103170.9,103195.4,103170.8,103195.3,103170.8,103195.3,103170.8,103194.0,103170.8,103194.0
2025-05-12 14:28:04.134321,1747045684134,1027,162,1521976103,-1,1823.25,1769,-20.0,-21.05,True,False,True,230583260782,103192.55,103197.2,103172.55,103172.55,103192.55,103197.2,103171.5,103171.5,103195.4,103197.3,103171.5,103171.5,103195.3,103197.2,103171.4,103171.4,103194.0,103197.3,103171.4,103171.4
2025-05-12 14:28:04.529245,1747045684529,1028,40,1521976543,-2,579.27,394,-20.0,-20.95,True,False,True,230583271798,103172.55,103172.55,103152.55,103152.55,103172.55,103172.55,103151.6,103151.6,103171.5,103171.5,103151.6,103151.6,103171.4,103171.4,103151.0,103151.0,103171.4,103171.5,103151.0,103151.0
2025-05-12 14:28:07.214656,1747045687214,1029,256,1521980944,-3,9557.23,2685,-20.0,-20.25,True,False,True,230583319624,103152.55,103171.4,103132.55,103132.55,103152.55,103171.4,103132.3,103132.3,103151.6,103171.5,103132.3,103132.3,103151.0,103171.4,103123.5,103132.2,103151.0,103171.5,103123.5,103136.0
2025-05-12 14:28:07.804764,1747045687804,1030,54,1521981228,-4,374.15,590,-20.0,-20.45,True,False,True,230583331024,103132.55,103132.55,103112.55,103112.55,103132.55,103132.55,103112.1,103112.1,103132.3,103132.3,103112.1,103112.1,103132.2,103132.2,103112.0,103112.0,103136.0,103136.0,103112.0,103112.0
2025-05-12 14:28:08.488135,1747045688488,1031,67,1521981667,-5,1321.87,683,-20.0,-21.85,True,False,True,230583340857,103112.55,103112.55,103092.55,103092.55,103112.55,103112.55,103090.7,103090.7,103112.1,103112.1,103090.7,103090.7,103112.0,103112.0,103090.1,103090.1,103112.0,103112.1,103100.0,103100.0
2025-05-12 14:28:09.616696,1747045689616,1032,108,1521982716,-6,4648.0,1128,-20.0,-24.45,True,False,True,230583362950,103092.55,103092.55,103072.55,103072.55,103092.55,103092.55,103068.1,103068.1,103090.7,103091.9,103068.1,103068.1,103090.1,103091.8,103068.0,103068.0,103100.0,103106.6,103069.2,103069.2
2025-05-12 14:28:10.294416,1747045690294,1033,63,1521983083,1,1396.87,677,20.0,20.55,True,False,True,230583376733,103072.55,103092.55,103062.9,103092.55,103072.55,103093.1,103062.9,103093.1,103068.1,103093.2,103062.9,103093.2,103068.0,103093.1,103062.8,103093.1,103069.2,103091.9,103062.8,103091.9
2025-05-12 14:28:10.365039,1747045690365,1034,8,1521983134,2,197.14,70,20.0,22.35,True,False,True,230583381573,103092.55,103112.55,103092.55,103112.55,103092.55,103114.9,103092.55,103114.9,103093.2,103115.0,103093.2,103115.0,103093.1,103114.9,103093.1,103114.9,103091.9,103115.0,103091.9,103115.0
2025-05-12 14:28:10.884475,1747045690884,1035,51,1521983260,3,950.56,519,20.0,20.15,True,False,True,230583389334,103112.55,103132.55,103112.55,103132.55,103112.55,103132.7,103112.55,103132.7,103115.0,103132.8,103115.0,103132.8,103114.9,103132.7,103114.9,103132.7,103115.0,103132.8,103114.9,103132.8
2025-05-12 14:28:11.224486,1747045691224,1036,32,1521983294,-1,201.32,339,-20.0,-21.75,True,False,True,230583396529,103132.55,103134.2,103112.55,103112.55,103132.55,103134.2,103110.8,103110.8,103132.8,103134.3,103110.8,103110.8,103132.7,103134.2,103110.7,103110.7,103132.8,103134.3,103114.2,103114.2
2025-05-12 14:28:12.014362,1747045692014,1037,73,1521983447,-2,756.9,789,-20.0,-25.35,True,False,True,230583405240,103112.55,103112.55,103092.55,103092.55,103112.55,103112.55,103087.2,103087.2,103110.8,103110.8,103087.2,103087.2,103110.7,103110.7,103087.1,103087.1,103114.2,103114.2,103094.5,103094.5
2025-05-12 14:28:12.104598,1747045692104,1038,10,1521983483,-3,71.74,90,-20.0,-22.45,True,False,True,230583410556,103092.55,103092.55,103072.55,103072.55,103092.55,103092.55,103070.1,103070.1,103087.2,103087.2,103070.1,103070.1,103087.1,103087.1,103070.0,103070.0,103094.5,103094.5,103074.1,103074.1
2025-05-12 14:28:15.004652,1747045695004,1039,275,1521984033,1,4123.75,2899,20.0,22.55,True,False,True,230583444255,103072.55,103092.55,103063.0,103092.55,103072.55,103095.1,103063.0,103095.1,103070.1,103095.2,103063.0,103095.2,103070.0,103095.1,103062.9,103095.1,103074.1,103095.1,103062.9,103095.1
2025-05-12 14:28:15.584716,1747045695584,1040,53,1521984093,-1,144.41,579,-20.0,-20.25,True,False,True,230583452259,103092.55,103095.1,103072.55,103072.55,103092.55,103095.1,103072.3,103072.3,103095.2,103095.2,103072.3,103072.3,103095.1,103095.1,103072.2,103072.2,103095.1,103095.1,103074.4,103074.4
2025-05-12 14:28:16.094744,1747045696094,1041,47,1521984387,-2,1091.48,509,-20.0,-22.05,True,False,True,230583463277,103072.55,103072.55,103052.55,103052.55,103072.55,103072.55,103050.5,103050.5,103072.3,103072.3,103050.5,103050.5,103072.2,103072.2,103050.4,103050.4,103074.4,103074.4,103051.6,103051.6
2025-05-12 14:28:20.534566,1747045700534,1042,419,1521985402,1,4574.29,4439,20.0,22.15,True,False,True,230583516072,103052.55,103072.55,103044.0,103072.55,103052.55,103074.7,103044.0,103074.7,103050.5,103076.2,103044.0,103076.2,103050.4,103074.7,103043.9,103074.7,103051.6,103074.3,103043.5,103074.3
2025-05-12 14:28:21.284998,1747045701284,1043,74,1521985604,2,1234.43,750,20.0,22.75,True,False,True,230583529435,103072.55,103092.55,103064.1,103092.55,103072.55,103095.3,103064.1,103095.3,103076.2,103095.8,103064.1,103095.8,103074.7,103095.3,103064.0,103095.3,103074.3,103095.8,103064.0,103095.8
2025-05-12 14:28:22.074216,1747045702074,1044,66,1521986371,3,3067.12,789,20.0,23.35,True,False,True,230583538887,103092.55,103112.55,103092.1,103112.55,103092.55,103115.9,103092.1,103115.9,103095.8,103121.8,103092.1,103121.8,103095.3,103115.9,103092.0,103115.9,103095.8,103121.8,103092.0,103120.3
