timestamp,last_bbo_local_timestamp,bar_number,open,high,low,close,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 15:47:16.907894,1747050436907,2376,,,,,687,1522346236,-3,2674.91,13402,-20.0,-24.45,True,False,True,230612098046,,,,,,,,,,,,,,,,
2025-05-12 15:47:17.323796,1747050437323,2377,,,,,35,1522346285,-4,132.75,415,-20.0,-20.85,True,False,True,230612108005,,,,,,,,,,,,,,,,
2025-05-12 15:47:23.474002,1747050443474,2378,,,,,276,1522346540,-5,368.16,6150,-20.0,-22.45,True,False,True,230612139694,,,,,,,,,,,,,,,,
2025-05-12 15:47:26.954537,1747050446954,2379,,,,,212,1522346721,-6,586.67,3480,-20.0,-31.75,True,False,True,230612156195,,,,,,,,,,,,,,,,
2025-05-12 15:47:27.005511,1747050447005,2380,,,,,6,1522346822,-7,126.52,50,-20.0,-21.65,True,False,True,230612160488,,,,,,,,,,,,,,,,
2025-05-12 15:47:32.173931,1747050452173,2381,,,,,339,1522347194,-8,2208.66,5168,-20.0,-21.65,True,False,True,230612192987,,,,,,,,,,,,,,,,
2025-05-12 15:47:33.824888,1747050453824,2382,,,,,111,1522347372,1,528.01,1650,20.0,22.05,True,False,True,230612206451,,,,,,,,,,,,,,,,
2025-05-12 15:47:49.074866,1747050469074,2383,,,,,913,1522347863,-1,742.68,15249,-20.0,-24.45,True,False,True,230612281548,,,,,,,,,,,,,,,,
2025-05-12 15:48:03.253780,1747050483253,2384,,,,,835,1522348394,1,1932.08,14178,20.0,21.45,True,False,True,230612338887,,,,,,,,,,,,,,,,
2025-05-12 15:48:42.235364,1747050522235,2385,,,,,1973,1522349688,-1,5066.52,38981,-20.0,-22.45,True,False,True,230612486710,,,,,,,,,,,,,,,,
2025-05-12 15:48:44.713931,1747050524713,2386,,,,,172,1522349820,1,284.41,2478,20.0,24.85,True,False,True,230612505110,,,,,,,,,,,,,,,,
2025-05-12 15:49:00.424504,1747050540424,2387,,,,,785,1522350226,-1,983.61,15710,-20.0,-20.55,True,False,True,230612555984,,,,,,,,,,,,,,,,
2025-05-12 15:49:02.983353,1747050542983,2388,,,,,146,1522350395,-2,408.72,2558,-20.0,-20.75,True,False,True,230612575114,,,,,,,,,,,,,,,,
2025-05-12 15:49:11.923969,1747050551923,2389,,,,,536,1522351072,-3,2362.29,8940,-20.0,-26.65,True,False,True,230612616477,,,,,,,,,,,,,,,,
2025-05-12 15:49:11.982907,1747050551982,2390,,,,,4,1522351477,-4,1154.85,58,-20.0,-21.65,True,False,True,230612621422,,,,,,,,,,,,,,,,
2025-05-12 15:49:12.144739,1747050552144,2391,,,,,22,1522351509,-5,187.51,161,-20.0,-20.95,True,False,True,230612633643,,,,,,,,,,,,,,,,
2025-05-12 15:49:13.135344,1747050553135,2392,,,,,77,1522352176,-6,1354.31,990,-20.0,-23.85,True,False,True,230612651262,,,,,,,,,,,,,,,,
2025-05-12 15:49:21.296114,1747050561296,2393,,,,,519,1522352757,1,4493.98,8160,20.0,29.45,True,False,True,230612686471,,,,,,,,,,,,,,,,
2025-05-12 15:49:21.994541,1747050561994,2394,,,,,62,1522352804,2,182.94,698,20.0,23.85,True,False,True,230612696548,,,,,,,,,,,,,,,,
2025-05-12 15:49:23.343857,1747050563343,2395,,,,,102,1522352894,3,218.51,1349,20.0,26.65,True,False,True,230612706950,,,,,,,,,,,,,,,,
2025-05-12 15:49:26.675854,1747050566675,2396,,,,,180,1522352979,4,218.6,3331,20.0,24.25,True,False,True,230612721845,,,,,,,,,,,,,,,,
2025-05-12 15:49:27.513861,1747050567513,2397,,,,,68,1522353091,-1,242.15,837,-20.0,-22.95,True,False,True,230612737380,,,,,,,,,,,,,,,,
2025-05-12 15:49:32.755682,1747050572755,2398,,,,,294,1522353792,-2,11179.18,5241,-20.0,-51.95,True,False,False,230612759740,,,,,,,,,,,,,,,,
2025-05-12 15:49:32.755727,1747050572755,2399,,,,,294,1522353792,-3,11179.18,5241,-20.0,-51.95,True,False,True,230612759740,,,,,,,,,,,,,,,,
2025-05-12 15:49:32.806789,1747050572806,2400,,,,,5,1522354056,-4,1213.67,51,-20.0,-28.55,True,False,True,230612763373,,,,,,,,,,,,,,,,
2025-05-12 15:49:45.713801,1747050585713,2401,,,,,796,1522354744,-5,2985.83,12906,-20.0,-22.95,True,False,True,230612830763,,,,,,,,,,,,,,,,
2025-05-12 15:49:59.174629,1747050599174,2402,,,,,713,1522355844,-6,3932.66,13460,-20.0,-22.45,True,False,True,230612888797,,,,,,,,,,,,,,,,
2025-05-12 15:49:59.276001,1747050599276,2403,,,,,10,1522356858,-7,4039.83,101,-20.0,-23.05,True,False,True,230612897683,,,,,,,,,,,,,,,,
2025-05-12 15:49:59.983644,1747050599983,2404,,,,,68,1522357408,1,4015.06,707,20.0,20.75,True,False,True,230612914105,,,,,,,,,,,,,,,,
2025-05-12 15:50:02.033891,1747050602033,2405,,,,,166,1522357611,2,1085.05,2050,20.0,20.05,True,False,True,230612934358,,,,,,,,,,,,,,,,
2025-05-12 15:50:04.494347,1747050604494,2406,,,,,180,1522357854,3,1285.42,2460,20.0,25.55,True,False,True,230612956631,,,,,,,,,,,,,,,,
2025-05-12 15:50:05.225074,1747050605225,2407,,,,,54,1522357925,4,433.49,730,20.0,20.55,True,False,True,230612962472,,,,,,,,,,,,,,,,
2025-05-12 15:50:06.305812,1747050606305,2408,,,,,97,1522358119,5,1136.42,1080,20.0,20.15,True,False,True,230612980312,,,,,,,,,,,,,,,,
2025-05-12 15:50:06.414912,1747050606414,2409,,,,,12,1522358253,6,666.49,109,20.0,20.85,True,False,True,230612986437,,,,,,,,,,,,,,,,
2025-05-12 15:50:11.714665,1747050611714,2410,,,,,402,1522358885,7,2870.62,5299,20.0,29.75,True,False,True,230613031795,,,,,,,,,,,,,,,,
2025-05-12 15:50:17.264804,1747050617264,2411,,,,,359,1522359250,-1,1583.15,5550,-20.0,-25.85,True,False,True,230613060009,,,,,,,,,,,,,,,,
2025-05-12 15:50:17.533972,1747050617533,2412,,,,,26,1522359283,-2,132.83,269,-20.0,-22.15,True,False,True,230613067795,,,,,,,,,,,,,,,,
2025-05-12 15:50:20.894575,1747050620894,2413,,,,,251,1522359530,-3,1264.67,3360,-20.0,-20.35,True,False,True,230613094714,,,,,,,,,,,,,,,,
2025-05-12 15:50:29.694332,1747050629694,2414,,,,,572,1522359834,-4,940.5,8799,-20.0,-24.45,True,False,True,230613131836,,,,,,,,,,,,,,,,
2025-05-12 15:50:30.215680,1747050630215,2415,,,,,41,1522360003,-5,1541.11,521,-20.0,-21.35,True,False,True,230613137121,,,,,,,,,,,,,,,,
2025-05-12 15:50:30.394369,1747050630394,2416,,,,,19,1522360083,-6,155.0,178,-20.0,-21.05,True,False,True,230613146656,,,,,,,,,,,,,,,,
2025-05-12 15:50:32.074626,1747050632074,2417,,,,,118,1522360225,1,567.89,1680,20.0,21.75,True,False,True,230613159819,,,,,,,,,,,,,,,,
2025-05-12 15:50:36.463702,1747050636463,2418,,,,,264,1522360466,2,1223.0,4389,20.0,21.05,True,False,True,230613185241,,,,,,,,,,,,,,,,
2025-05-12 15:50:37.105426,1747050637105,2419,,,,,34,1522360545,3,171.09,641,20.0,20.15,True,False,True,230613192011,,,,,,,,,,,,,,,,
2025-05-12 15:50:37.464505,1747050637464,2420,,,,,31,1522360616,4,104.97,359,20.0,24.05,True,False,True,230613201086,,,,,,,,,,,,,,,,
2025-05-12 15:50:42.054641,1747050642054,2421,,,,,321,1522360808,-1,569.32,4590,-20.0,-20.35,True,False,True,230613231021,,,,,,,,,,,,,,,,
2025-05-12 15:50:47.753386,1747050647753,2422,,,,,323,1522361099,1,805.72,5698,20.0,24.85,True,False,True,230613268785,,,,,,,,,,,,,,,,
2025-05-12 15:50:48.123954,1747050648123,2423,,,,,29,1522361156,2,34.85,370,20.0,21.25,True,False,True,230613275575,,,,,,,,,,,,,,,,
2025-05-12 15:50:52.653826,1747050652653,2424,,,,,300,1522361314,3,294.79,4529,20.0,20.75,True,False,True,230613295483,,,,,,,,,,,,,,,,
2025-05-12 15:51:01.143712,1747050661143,2425,,,,,498,1522361685,-1,962.31,8489,-20.0,-20.45,True,False,True,230613340302,,,,,,,,,,,,,,,,
2025-05-12 15:51:02.713705,1747050662713,2426,,,,,105,1522361792,-2,122.2,1569,-20.0,-23.85,True,False,True,230613355269,,,,,,,,,,,,,,,,
2025-05-12 15:51:04.304735,1747050664304,2427,,,,,103,1522361877,-3,41.46,1590,-20.0,-27.65,True,False,True,230613366536,,,,,,,,,,,,,,,,
2025-05-12 15:51:06.269844,1747050666269,2428,,,,,136,1522362310,1,6488.59,1965,20.0,23.55,True,False,True,230613381403,,,,,,,,,,,,,,,,
2025-05-12 15:51:07.544093,1747050667544,2429,,,,,100,1522362426,-1,746.94,1274,-20.0,-22.25,True,False,True,230613395538,,,,,,,,,,,,,,,,
2025-05-12 15:51:09.184111,1747050669184,2430,,,,,128,1522362597,-2,1153.86,1639,-20.0,-23.85,True,False,True,230613418024,,,,,,,,,,,,,,,,
2025-05-12 15:51:10.854252,1747050670854,2431,,,,,131,1522362717,1,439.06,1670,20.0,20.95,True,False,True,230613438083,,,,,,,,,,,,,,,,
2025-05-12 15:51:11.463567,1747050671463,2432,,,,,49,1522362780,2,72.0,609,20.0,21.75,True,False,True,230613447976,,,,,,,,,,,,,,,,
2025-05-12 15:51:12.783480,1747050672783,2433,,,,,103,1522363154,3,6570.11,1319,20.0,25.25,True,False,True,230613461187,,,,,,,,,,,,,,,,
2025-05-12 15:51:15.605229,1747050675605,2434,,,,,203,1522363341,4,309.29,2821,20.0,24.95,True,False,True,230613488024,,,,,,,,,,,,,,,,
